bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,7,LDA
3,0.30000000000000004,0.4,152,0.37314972890126114,0.18421052631578946,0.18893920258547167,BCI_IV_2a,7,LDA
4,0.4,0.5,105,0.44197759819551297,0.4666666666666667,0.024689068471153708,BCI_IV_2a,7,LDA
5,0.5,0.6000000000000001,31,0.534319266933413,0.967741935483871,0.43342266855045797,BCI_IV_2a,7,LDA
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,7,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,7,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,7,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,7,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,8,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,8,LDA
2,0.2,0.30000000000000004,11,0.2904931118396485,0.2727272727272727,0.01776583911237578,BCI_IV_2a,8,LDA
3,0.30000000000000004,0.4,118,0.36074274621010827,0.5169491525423728,0.15620640633226457,BCI_IV_2a,8,LDA
4,0.4,0.5,122,0.4377435878205067,0.6885245901639344,0.2507810023434277,BCI_IV_2a,8,LDA
5,0.5,0.6000000000000001,24,0.5486773659208802,0.75,0.20132263407911977,BCI_IV_2a,8,LDA
6,0.6000000000000001,0.7000000000000001,12,0.6291136340208366,0.8333333333333334,0.20421969931249673,BCI_IV_2a,8,LDA
7,0.7000000000000001,0.8,1,0.7328351015531653,1.0,0.26716489844683466,BCI_IV_2a,8,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,8,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,8,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,9,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,9,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,9,LDA
3,0.30000000000000004,0.4,214,0.3558180164743357,0.3411214953271028,0.01469652114723291,BCI_IV_2a,9,LDA
4,0.4,0.5,50,0.422960185901257,0.56,0.13703981409874305,BCI_IV_2a,9,LDA
